Model,MAE,MSE,R2
LinearRegression,82657.94605892444,10549721686.160315,0.9146454505137985
RobustRegression,199465.55955429273,61664910393.24933,0.5010881990728191
RidgeRegression,82659.67244409776,10549745186.670174,0.91464526037841
LassoRegression,82657.94662172231,10549717660.356375,0.9146454830853386
ElasticNet,99126.80843102589,15081376466.559591,0.8779812271613102
PolynomialRegression,83413.36411271193,10664698415.442215,0.9137152092030607
SGDRegressor,5.193515667469216e+17,3.43657950491464e+35,-2.780430651552687e+24
ANN,199373.55939408744,61466854642.239784,0.502690607165039
RandomForest,97960.11712373831,14942430024.125746,0.8791054000399379
SVM,282947.68758691323,123546565157.52672,0.0004227861838135283
LGBM,92133.9888284538,13097708114.507051,0.8940304769478327
XGBoost,101565.19208841266,16138680641.877495,0.8694269046645823
KNN,198086.23684543537,60395811313.31432,0.5113560889227768
